snapshot,bids_price,asks_price,timestamps,simple_mid_price,mid_price,spread,imbalance
0,76795.78,76795.79,18:05:06,76795.785,76795.78187662506,0.00999999999476131,-0.28642549914413196
1,76795.78,76795.79,18:05:10,76795.785,76795.78187847942,0.00999999999476131,-0.24231772775591556
2,76790.53,76790.54,18:05:16,76790.535,76790.53001750336,0.00999999999476131,-0.821532703625925
3,76776.0,76776.01,18:05:20,76776.005,76776.00348943418,0.00999999999476131,-0.02534857564792225
4,76785.77,76785.78,18:05:26,76785.775,76785.7798636425,0.00999999999476131,0.7392279062383553
5,76814.73,76814.74,18:05:31,76814.735,76814.7382440875,0.010000000009313226,0.43267823418543483
6,76814.73,76814.74,18:05:36,76814.735,76814.73806515735,0.010000000009313226,0.614117065549823
7,76814.4,76814.41,18:05:41,76814.405,76814.40727744154,0.010000000009313226,0.33056186760572687
8,76814.69,76814.7,18:05:46,76814.695,76814.69533489391,0.00999999999476131,0.5627926216519997
9,76814.69,76814.7,18:05:50,76814.695,76814.6946109729,0.00999999999476131,0.5287379252862225
10,76831.03,76831.04,18:05:56,76831.035,76831.03666331996,0.00999999999476131,0.4702078009931023
11,76830.27,76830.28,18:06:01,76830.275,76830.27039515054,0.00999999999476131,-0.4345422621307574
12,76828.34,76828.35,18:06:05,76828.345,76828.34064622992,0.010000000009313226,-0.46842086707458086
13,76828.34,76828.35,18:06:11,76828.345,76828.34036126836,0.010000000009313226,-0.46269946723399474
14,76835.06,76835.07,18:06:16,76835.065,76835.06883494547,0.010000000009313226,0.7015287831706392
15,76841.22,76841.23,18:06:21,76841.225,76841.22702546889,0.00999999999476131,0.6229894587048825
16,76844.92,76844.93,18:06:26,76844.92499999999,76844.92944096914,0.00999999999476131,0.534283256184127
17,76858.75,76858.76,18:06:31,76858.755,76858.75232252291,0.00999999999476131,-0.3944082130075782
18,76858.75,76858.76,18:06:36,76858.755,76858.75367994489,0.00999999999476131,-0.4851881231958321
19,76858.75,76858.76,18:06:41,76858.755,76858.75542463292,0.00999999999476131,-0.433881869031921
20,76858.75,76858.76,18:06:46,76858.755,76858.7544327352,0.00999999999476131,-0.2823708402325352
21,76858.75,76858.76,18:06:51,76858.755,76858.75848959717,0.00999999999476131,0.006157623014388128
22,76858.75,76858.76,18:06:56,76858.755,76858.75722357437,0.00999999999476131,0.028804066767162066
23,76858.75,76858.76,18:07:01,76858.755,76858.75689226083,0.00999999999476131,0.1257283026279724
